Img,Min,Max,Mean,Black Rows,Black cols,Next img,RMSE
ART_2020307_175017.FR,2.6438425,135.78767,20.077911,0,0,ART_2020307_180017.FR,10.229143
ART_2020307_180017.FR,2.4568195,136.87497,20.131529,0,0,ART_2020307_181017.FR,10.403996
ART_2020307_181017.FR,2.4799144,139.88766,20.215223,0,0,ART_2020307_182017.FR,10.4378195
ART_2020307_182017.FR,2.295405,143.67993,20.298182,0,0,ART_2020307_183017.FR,10.538295
ART_2020307_183017.FR,2.7457535,148.24193,20.422028,0,0,ART_2020307_184017.FR,10.653805
ART_2020307_184017.FR,2.7105353,161.98051,20.58262,0,0,ART_2020307_185017.FR,10.769713
ART_2020307_185017.FR,2.4876447,153.87146,20.762602,0,0,ART_2020307_190017.FR,10.937771
ART_2020307_190017.FR,2.6736603,165.79037,20.819216,0,0,ART_2020307_191017.FR,11.014705
ART_2020307_191017.FR,2.4417744,173.99498,20.639734,0,0,ART_2020307_192017.FR,10.790337
ART_2020307_192017.FR,2.6480272,196.79729,20.295763,0,0,ART_2020307_193017.FR,10.607926
ART_2020307_193017.FR,2.5766213,222.93576,19.993824,0,0,ART_2020307_194017.FR,10.345969
ART_2020307_194017.FR,2.6453722,227.42415,19.819914,0,0,ART_2020307_195017.FR,10.180856
ART_2020307_195017.FR,2.6880786,226.63304,19.74054,0,0,ART_2020307_200017.FR,10.175975
ART_2020307_200017.FR,2.6160438,231.92845,19.717634,0,0,ART_2020307_201017.FR,10.131921
ART_2020307_201017.FR,2.7444618,258.2727,19.704082,0,0,ART_2020307_202017.FR,10.136354
ART_2020307_202017.FR,2.846347,281.69406,19.664131,0,0,ART_2020307_203017.FR,10.014874
ART_2020307_203017.FR,2.6222517,267.25592,19.472656,0,0,ART_2020307_204017.FR,9.780041
ART_2020307_204017.FR,2.5183413,251.95056,19.075495,0,0,ART_2020307_205017.FR,9.35923
ART_2020307_205017.FR,2.6043487,307.80545,18.397642,0,0,ART_2020307_210017.FR,8.937581
ART_2020307_210017.FR,0.0,274.53546,17.552404,0,0,ART_2020307_211017.FR,8.614438
ART_2020307_211017.FR,0.0,298.98837,16.22597,0,0,ART_2020307_212017.FR,8.078501
ART_2020307_212017.FR,0.0,294.2631,14.587853,0,0,ART_2020307_213017.FR,6.9785147
ART_2020307_213017.FR,0.0,237.35439,13.12027,0,0,ART_2020307_214017.FR,6.2532334
ART_2020307_214017.FR,0.0,240.16144,11.788399,0,20,ART_2020307_215017.FR,6.43458
ART_2020307_215017.FR,0.0,218.05116,10.254609,0,29,ART_2020307_220017.FR,6.3727098
ART_2020307_220017.FR,0.0,197.30867,8.651579,0,37,ART_2020307_221017.FR,7.0352244
ART_2020307_221017.FR,0.0,221.30978,6.694215,0,43,ART_2020307_222017.FR,9.307079
ART_2020307_222017.FR,0.0,225.68674,3.7027543,0,48,ART_2020307_223017.FR,9.247491
ART_2020307_223017.FR,0.0,220.02936,1.2014867,0,53,ART_2020307_224017.FR,6.958957
ART_2020307_224017.FR,0.0,94.774254,0.03158638,0,58,ART_2020307_225017.FR,0.9613557
ART_2020308_083017.FR,0.0,0.0,0.0,70,76,ART_2020308_084017.FR,13.227419
ART_2020308_084017.FR,0.0,246.89731,2.441944,0,53,ART_2020308_085017.FR,17.005661
ART_2020308_085017.FR,0.0,271.92316,6.8363514,0,48,ART_2020308_090017.FR,18.574932
ART_2020308_090017.FR,0.0,244.64594,12.208052,0,43,ART_2020308_091017.FR,15.610351
ART_2020308_091017.FR,0.0,295.29364,15.586973,0,36,ART_2020308_092017.FR,15.05585
ART_2020308_092017.FR,0.0,243.38115,18.033531,0,29,ART_2020308_093017.FR,14.546158
ART_2020308_093017.FR,0.0,232.1388,19.883085,0,19,ART_2020308_094017.FR,14.104152
